Year,PublicCurrency,CirculationNotes,CirculationRupeeCoins,CirculationSmallCoins,CashHandBanks,DepositPublic,DemandDepositsBanks,DepositReserveBank,TotalMoney
2001,2095.5,2128.5,40.5,13,86.5,1698.8,1662.7,36.1,3794.3
2002,2407.9,2446.1,49.3,14.4,101.8,1820.3,1792,28.3,4228.2
2003,2715.8,2754,56.1,14.6,108.9,2019.8,1987.6,32.2,4735.6
2004,3149.7,3197.3,58.3,14.6,120.6,2637.2,2586.3,51,5786.9
2005,3563.1,3612.1,59.8,14.6,123.5,2934.5,2870,64.5,6497.7
2006,4121.2,4219.2,61.9,14.7,174.5,4142.7,4074.2,68.4,8263.9
2007,4828.5,4959.4,66.8,14.8,212.4,4850.7,4776,74.7,9679.3
2008,5684.1,5815.8,76.6,15.7,223.9,5874,5783.7,90.3,11558.1
2009,6654.5,6811,84.9,15.7,257,5942.2,5886.9,55.3,12596.7
2010,7674.9,7882.8,97,15.7,320.6,7217.8,7179.7,38.1,14892.7
2011,9118.4,9369.4,111.6,15.7,378.2,7265.1,7228.6,36.5,16383.5
2012,10236.7,10537.9,127.1,7.4,435.6,7138,7109,28.2,17373.9
2013,11410.6,11756.4,146,7.4,499.1,7564.7,7532.3,32.4,18975.3
2014,12458.2,12837.4,166,7.4,552.6,8139.4,8119.8,19.7,20597.6
2015,13861.8,14288.8,186.9,7.4,621.3,9062.2,8916.3,145.9,22924
2016,15972.5,16415.6,211.6,7,662.1,10052.8,9898.3,154.5,26025.4
2017,12637.1,13101.8,243.4,7,715.6,14317.2,14106.3,210.9,26954.3
